,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
SimSiam-64-64,0.5166,0.5916,0.4319,0.5163,0.9881,0.8602,0.1566,0.1432,0.839,0.9996,0.8349944425014726,0.6206415379561482,0.7063826997742779
SimSiam-16-8,0.4691,0.39,0.2323,0.452,0.9594,0.8114,0.1253,0.1158,0.5122,0.9997,0.534448435445744,0.21063038060933467,0.34015760254389843
SimSiam-64-32,0.5357,0.5479,0.4156,0.4959,0.9824,0.8516,0.1555,0.1234,0.7967,0.9993,0.7733229313970391,0.5684259236792472,0.6503847267663639
NNCLR-128-128,0.5337,0.5865,0.466,0.5089,0.9856,0.8531,0.1654,0.142,0.7909,0.9996,0.8147415884247369,0.6324894714794886,0.705390318257588
NNCLR-16-12,0.5057,0.5172,0.3546,0.4984,0.9782,0.8278,0.111,0.1,0.7216,0.9995,0.5991511930747532,0.4847194654055963,0.5304921564732591
NNCLR-128-32,0.5614,0.554,0.4523,0.4884,0.9783,0.8534,0.1822,0.0999,0.7702,0.9994,0.7788814205277801,0.590775507528938,0.6660178727284749
NNCLR-128-64,0.5376,0.6087,0.5279,0.4962,0.9844,0.8657,0.1857,0.1269,0.78,0.9997,0.8504552691869485,0.6525165131440706,0.7316920155612217
NNCLR-32-32,0.5252,0.5993,0.5099,0.5008,0.98,0.8737,0.1061,0.1154,0.7946,0.9995,0.7372457381726042,0.6176380498455547,0.6654811251763746
NNCLR-64-128,0.5377,0.5866,0.4465,0.4981,0.9847,0.8548,0.1416,0.1206,0.8042,0.9994,0.758785060730913,0.6129216379930454,0.6712670070881925
NNCLR-256-256,0.5414,0.6389,0.5191,0.4972,0.9904,0.8458,0.1747,0.1518,0.7984,0.9996,0.8278476592603109,0.690373622281263,0.7453632370728822
NNCLR-64-12,0.5154,0.5722,0.4812,0.496,0.9809,0.8467,0.1379,0.0974,0.7401,0.9996,0.6847091164915824,0.5791191720851802,0.621355149847741
NNCLR-64-8,0.5085,0.5638,0.3706,0.4524,0.9811,0.812,0.143,0.1186,0.77,0.9996,0.6534964347403002,0.4710672724403418,0.5440389373603252
NNCLR-256-128,0.5293,0.6344,0.5029,0.5164,0.9918,0.8419,0.1706,0.1426,0.8267,0.9996,0.8109457707260667,0.6968881378425096,0.7425111909959324
NNCLR-32-12,0.5149,0.5252,0.3196,0.4946,0.9785,0.8313,0.1364,0.1043,0.7194,0.9997,0.6508255849492511,0.4815127183395562,0.5492378649834342
NNCLR-64-64,0.5084,0.5966,0.5262,0.5134,0.9835,0.8638,0.152,0.143,0.8172,0.9994,0.8273937564674639,0.6317409161191808,0.710002052258494
NNCLR-16-32,0.5232,0.4891,0.3066,0.4854,0.9737,0.8324,0.1126,0.1022,0.6898,0.9994,0.6032149365704613,0.4394486811746317,0.5049551833329635
NNCLR-16-8,0.504,0.462,0.3286,0.4663,0.9716,0.845,0.1418,0.096,0.6862,0.9995,0.6662535973187589,0.38258847797809326,0.4960545257143595
NNCLR-64-32,0.5343,0.6395,0.5669,0.5146,0.9867,0.8512,0.1505,0.0969,0.824,0.9996,0.7415732530036276,0.7102853385411757,0.7228005043261565
MoCo-32,0.5866,0.7302,0.5959,0.5667,0.9987,0.8447,0.0908,0.078,0.9159,0.9777,0.547592769533318,0.9302162661125195,0.7771668674808389
MoCo-16,0.5822,0.7095,0.5687,0.5602,0.9973,0.8577,0.1206,0.1215,0.9024,0.988,0.7177522210368845,0.8914554033981303,0.8219741304536321
MoCo-128,0.5901,0.734,0.706,0.5716,0.9989,0.8506,0.0796,0.0827,0.9027,0.9545,0.4427486894569129,0.9858160297556063,0.7685890936361289
MoCo-64,0.5878,0.7274,0.6387,0.5823,0.9992,0.8483,0.084,0.0841,0.9141,0.9631,0.48798355130435817,0.9677746166798249,0.7758581905296382
SimCLR-32,0.5476,0.6672,0.5856,0.5465,0.9957,0.8526,0.1227,0.052,0.8716,0.9994,0.6605012691337491,0.8163642651901227,0.7540190667675732
SimCLR-16,0.5414,0.6543,0.5294,0.5308,0.9949,0.8549,0.1205,0.0818,0.8462,0.9994,0.6917589895179533,0.7589705155482714,0.7320859051361441
SimCLR-128,0.5712,0.6699,0.6321,0.5338,0.9965,0.8632,0.1506,0.0821,0.84,0.9994,0.753705922917211,0.8489738475334091,0.8108666776869299
SimCLR-64,0.5619,0.6392,0.5556,0.5339,0.9955,0.8649,0.1432,0.0806,0.8545,0.9994,0.7492925889845877,0.7899522680135089,0.7736883964019404
VICReg-32,0.5208,0.6588,0.5259,0.5201,0.9819,0.8087,0.1669,0.1156,0.7622,0.9941,0.6515344218293531,0.6794507920852318,0.6682842439828803
VICReg-16,0.5343,0.6291,0.4846,0.526,0.9833,0.7985,0.1663,0.1115,0.7096,0.993,0.6001738802773124,0.6751139371501959,0.6451379144010425
VICReg-128,0.5321,0.6412,0.5562,0.5189,0.983,0.8352,0.1496,0.0759,0.7988,0.9949,0.6488045887447478,0.6971121540146964,0.677789127906717
VICReg-64,0.5225,0.6669,0.5619,0.5356,0.9855,0.8175,0.1397,0.1019,0.7852,0.9954,0.6258442684795347,0.7309417417220156,0.6889027524250233
