,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
SimSiam-256-128,0.588,0.7,0.5792,0.5691,0.9884,0.8854,0.4958,0.4494,0.8687,0.9998,0.7398,0.6849,0.7069
SimSiam-32-12,0.5114,0.4605,0.2715,0.5346,0.9185,0.7938,0.2149,0.1892,0.6958,0.9999,0.5787,0.5393,0.5551
SimSiam-64-64,0.5373,0.614,0.5201,0.513,0.9544,0.8939,0.5724,0.4463,0.8361,0.9999,0.7497,0.6278,0.6766
SimSiam-16-8,0.5025,0.5095,0.298,0.4762,0.9412,0.8512,0.3388,0.276,0.6549,0.9999,0.6242,0.5455,0.577
SimSiam-64-32,0.5192,0.6006,0.476,0.527,0.9708,0.8837,0.4681,0.3772,0.8349,0.9999,0.7128,0.6187,0.6563
NNCLR-128-128,0.5919,0.6582,0.5147,0.5766,0.9946,0.903,0.2645,0.2466,0.8249,0.9998,0.6477,0.6672,0.6594
NNCLR-16-12,0.5687,0.5756,0.4096,0.552,0.9683,0.8402,0.1987,0.2144,0.8203,1.0,0.6147,0.6149,0.6148
NNCLR-128-32,0.5339,0.6482,0.5179,0.5316,0.9886,0.8796,0.3777,0.2056,0.7992,0.9998,0.6524,0.644,0.6474
NNCLR-128-64,0.5415,0.6801,0.5854,0.515,0.9773,0.8503,0.3217,0.3475,0.8131,0.9998,0.6665,0.6599,0.6625
NNCLR-32-32,0.5722,0.6071,0.4269,0.544,0.977,0.8559,0.1577,0.2088,0.7731,0.9997,0.5991,0.6254,0.6149
NNCLR-64-128,0.5705,0.6467,0.5534,0.5587,0.9866,0.8901,0.3981,0.3172,0.8571,0.9996,0.6924,0.6632,0.6749
NNCLR-256-256,0.6278,0.7269,0.6375,0.5888,0.9987,0.8917,0.4199,0.2193,0.8706,0.9999,0.6803,0.7159,0.7017
NNCLR-64-12,0.5551,0.6003,0.4402,0.5351,0.9648,0.859,0.3007,0.1706,0.7795,0.9997,0.6219,0.6191,0.6202
NNCLR-64-8,0.5545,0.6151,0.4567,0.5052,0.9719,0.9154,0.3565,0.4571,0.7856,0.9999,0.7029,0.6207,0.6536
NNCLR-32-8,0.5318,0.575,0.414,0.5033,0.9722,0.8582,0.2609,0.3206,0.7678,1.0,0.6415,0.5993,0.6162
NNCLR-256-128,0.5922,0.7179,0.6244,0.583,0.9953,0.8651,0.2926,0.2741,0.8268,0.9999,0.6517,0.7025,0.6822
NNCLR-32-12,0.5301,0.5687,0.406,0.4813,0.9497,0.8595,0.2261,0.2126,0.7561,0.9998,0.6108,0.5871,0.5966
NNCLR-64-64,0.521,0.6248,0.5299,0.5285,0.978,0.8752,0.3226,0.1855,0.7371,0.9999,0.624,0.6364,0.6315
NNCLR-16-32,0.5367,0.5538,0.389,0.5424,0.9604,0.8296,0.2208,0.3045,0.6918,0.9998,0.6093,0.5964,0.6016
NNCLR-16-8,0.5292,0.5826,0.4238,0.518,0.955,0.8398,0.1397,0.1566,0.741,0.9998,0.5754,0.6017,0.5912
NNCLR-64-32,0.5341,0.6327,0.5551,0.5205,0.9745,0.8639,0.2892,0.2928,0.8176,0.9997,0.6526,0.6434,0.6471
MoCo-32,0.663,0.7904,0.7054,0.6459,1.0,0.8693,0.1166,0.3394,0.913,0.9846,0.6446,0.7609,0.7144
MoCo-16,0.6492,0.7446,0.6062,0.6475,0.9997,0.8703,0.2343,0.3579,0.8802,0.9791,0.6643,0.7294,0.7034
MoCo-128,0.6636,0.8118,0.7719,0.6403,1.0,0.8797,0.1016,0.3078,0.9054,0.9725,0.6334,0.7775,0.7199
MoCo-64,0.6687,0.7874,0.6835,0.6421,1.0,0.8771,0.1121,0.3416,0.9104,0.9853,0.6453,0.7563,0.7119
SimCLR-32,0.6283,0.7577,0.6592,0.6264,0.9997,0.8621,0.2741,0.2667,0.8692,0.9997,0.6544,0.7342,0.7023
SimCLR-16,0.63,0.7451,0.6496,0.633,0.9997,0.853,0.2022,0.2515,0.8789,0.9997,0.6371,0.7315,0.6937
SimCLR-128,0.6343,0.7768,0.7336,0.626,0.9997,0.8694,0.2422,0.3055,0.8763,0.9997,0.6586,0.7541,0.7159
SimCLR-64,0.6288,0.77,0.6951,0.6219,0.9998,0.8767,0.2811,0.2977,0.8746,0.9997,0.6659,0.7431,0.7122
VICReg-32,0.639,0.7297,0.5563,0.6238,0.9993,0.8272,0.1301,0.1944,0.8368,0.9957,0.5969,0.7096,0.6645
VICReg-16,0.6319,0.6797,0.5296,0.6063,0.9961,0.8174,0.0845,0.1722,0.8145,0.9948,0.5767,0.6887,0.6439
VICReg-128,0.6563,0.7369,0.5985,0.6353,0.9993,0.8419,0.066,0.2382,0.8489,0.9984,0.5986,0.7253,0.6746
VICReg-64,0.6469,0.724,0.5492,0.6265,0.9991,0.8371,0.1244,0.2048,0.834,0.9977,0.5996,0.7092,0.6653
