,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
SimSiam-64-32,0.5192,0.6006,0.476,0.527,0.9708,0.8837,0.4681,0.3772,0.8349,0.9999,0.8054017621564119,0.42338890241371396,0.5761940463107931
NNCLR-128-128,0.5919,0.6582,0.5147,0.5766,0.9946,0.903,0.2645,0.2466,0.8249,0.9998,0.6630210895980715,0.651196614901216,0.6559264047799582
NNCLR-16-12,0.5687,0.5756,0.4096,0.552,0.9683,0.8402,0.1987,0.2144,0.8203,1.0,0.5109782817437312,0.45074897606148656,0.47484069833438436
NNCLR-128-32,0.5339,0.6482,0.5179,0.5316,0.9886,0.8796,0.3777,0.2056,0.7992,0.9998,0.6263689316782827,0.5303251195882247,0.5687426444242478
NNCLR-128-64,0.5415,0.6801,0.5854,0.515,0.9773,0.8503,0.3217,0.3475,0.8131,0.9998,0.6589331853668761,0.5399911224552101,0.5875679476198765
NNCLR-32-32,0.5722,0.6071,0.4269,0.544,0.977,0.8559,0.1577,0.2088,0.7731,0.9997,0.4860755693752254,0.49304765758566305,0.490258822301488
NNCLR-64-128,0.5705,0.6467,0.5534,0.5587,0.9866,0.8901,0.3981,0.3172,0.8571,0.9996,0.7596293906321316,0.6017345411087586,0.6648924809181078
NNCLR-256-256,0.6278,0.7269,0.6375,0.5888,0.9987,0.8917,0.4199,0.2193,0.8706,0.9999,0.7160812923731295,0.7977563886778614,0.7650863501559686
NNCLR-64-12,0.5551,0.6003,0.4402,0.5351,0.9648,0.859,0.3007,0.1706,0.7795,0.9997,0.5261081940323447,0.43865069774366444,0.47363369625913654
NNCLR-64-8,0.5545,0.6151,0.4567,0.5052,0.9719,0.9154,0.3565,0.4571,0.7856,0.9999,0.8367452200564246,0.44246888120104233,0.6001794167431953
NNCLR-32-8,0.5318,0.575,0.414,0.5033,0.9722,0.8582,0.2609,0.3206,0.7678,1.0,0.6039938248036003,0.3782114556359898,0.468524403303034
NNCLR-256-128,0.5922,0.7179,0.6244,0.583,0.9953,0.8651,0.2926,0.2741,0.8268,0.9999,0.6319658243787483,0.7370508573486121,0.6950168441606666
NNCLR-32-12,0.5301,0.5687,0.406,0.4813,0.9497,0.8595,0.2261,0.2126,0.7561,0.9998,0.5119579525294788,0.29385743599032893,0.3810976426059889
NNCLR-64-64,0.521,0.6248,0.5299,0.5285,0.978,0.8752,0.3226,0.1855,0.7371,0.9999,0.5470610176905186,0.4796319287766447,0.5066035643421942
NNCLR-16-32,0.5367,0.5538,0.389,0.5424,0.9604,0.8296,0.2208,0.3045,0.6918,0.9998,0.4828585101665962,0.36885395707605295,0.41445577831227026
NNCLR-16-8,0.5292,0.5826,0.4238,0.518,0.955,0.8398,0.1397,0.1566,0.741,0.9998,0.39900513446111635,0.3553462356594783,0.3728097951801336
NNCLR-64-32,0.5341,0.6327,0.5551,0.5205,0.9745,0.8639,0.2892,0.2928,0.8176,0.9997,0.6340615672962122,0.49157494928128714,0.5485695964872572
MoCo-32,0.663,0.7904,0.7054,0.6459,1.0,0.8693,0.1166,0.3394,0.913,0.9846,0.5538257273014526,0.9538839530619466,0.793860662757749
MoCo-16,0.6492,0.7446,0.6062,0.6475,0.9997,0.8703,0.2343,0.3579,0.8802,0.9791,0.5543774252895843,0.8747480694232775,0.7465998117698003
MoCo-128,0.6636,0.8118,0.7719,0.6403,1.0,0.8797,0.1016,0.3078,0.9054,0.9725,0.45136635201571007,0.9880164403532007,0.7733564050182045
MoCo-64,0.6687,0.7874,0.6835,0.6421,1.0,0.8771,0.1121,0.3416,0.9104,0.9853,0.5698558457059753,0.945718456347864,0.7953734120911085
SimCLR-32,0.6283,0.7577,0.6592,0.6264,0.9997,0.8621,0.2741,0.2667,0.8692,0.9997,0.6390580195751289,0.8621544015584517,0.7729158487651225
SimCLR-16,0.63,0.7451,0.6496,0.633,0.9997,0.853,0.2022,0.2515,0.8789,0.9997,0.5914602702208185,0.8590730611086984,0.7520279447535464
SimCLR-128,0.6343,0.7768,0.7336,0.626,0.9997,0.8694,0.2422,0.3055,0.8763,0.9997,0.6685951294151014,0.9085531304810704,0.8125699300546829
SimCLR-64,0.6288,0.77,0.6951,0.6219,0.9998,0.8767,0.2811,0.2977,0.8746,0.9997,0.6897427819047964,0.8800490374360358,0.8039265352235401
VICReg-32,0.639,0.7297,0.5563,0.6238,0.9993,0.8272,0.1301,0.1944,0.8368,0.9957,0.42792568476746895,0.8126605882273484,0.6587666268433966
VICReg-16,0.6319,0.6797,0.5296,0.6063,0.9961,0.8174,0.0845,0.1722,0.8145,0.9948,0.3589536086370342,0.7419839515055073,0.5887718143581181
VICReg-128,0.6563,0.7369,0.5985,0.6353,0.9993,0.8419,0.066,0.2382,0.8489,0.9984,0.48291291899908445,0.862169919012841,0.7104671190073384
VICReg-64,0.6469,0.724,0.5492,0.6265,0.9991,0.8371,0.1244,0.2048,0.834,0.9977,0.46172664743348973,0.8167312939959366,0.6747294353709579
